num_cands,num_voters,pm,vm,perc_diff_sc,perc_diff_sc_ec,perc_refine_sc,perc_supset_sc,perc_disjoint_sc,num_profiles
5,"(100, 101)",MALLOWS_2REF-RELPHI-R,Beat Path,0.02484,0.06438,0.02484,0.0,0.0,50000
5,"(500, 501)",MALLOWS_2REF-RELPHI-R,Beat Path,0.02576,0.03596,0.02576,0.0,0.0,50000
5,"(1000, 1001)",MALLOWS_2REF-RELPHI-R,Beat Path,0.026,0.03026,0.026,0.0,0.0,50000
5,"(5000, 5001)",MALLOWS_2REF-RELPHI-R,Beat Path,0.02574,0.02094,0.02574,0.0,0.0,50000
7,"(4, 5)",MALLOWS_2REF-RELPHI-R,Beat Path,0.00152,0.25852,0.00152,0.0,0.0,50000
7,"(10, 11)",MALLOWS_2REF-RELPHI-R,Beat Path,0.02816,0.198,0.02816,0.0,0.0,50000
7,"(20, 21)",MALLOWS_2REF-RELPHI-R,Beat Path,0.04284,0.15676,0.04284,0.0,0.0,50000
7,"(50, 51)",MALLOWS_2REF-RELPHI-R,Beat Path,0.05384,0.11824,0.05384,0.0,0.0,50000
7,"(100, 101)",MALLOWS_2REF-RELPHI-R,Beat Path,0.05718,0.0942,0.05718,0.0,0.0,50000
7,"(500, 501)",MALLOWS_2REF-RELPHI-R,Beat Path,0.0609,0.06146,0.0609,0.0,0.0,50000
7,"(1000, 1001)",MALLOWS_2REF-RELPHI-R,Beat Path,0.0623,0.05298,0.0623,0.0,0.0,50000
7,"(5000, 5001)",MALLOWS_2REF-RELPHI-R,Beat Path,0.0626,0.0426,0.0626,0.0,0.0,50000
10,"(4, 5)",MALLOWS_2REF-RELPHI-R,Beat Path,0.0074,0.3087,0.0074,0.0,0.0,50000
10,"(10, 11)",MALLOWS_2REF-RELPHI-R,Beat Path,0.0676,0.24984,0.0676,0.0,0.0,50000
10,"(20, 21)",MALLOWS_2REF-RELPHI-R,Beat Path,0.09006,0.2107,0.09006,0.0,0.0,50000
10,"(50, 51)",MALLOWS_2REF-RELPHI-R,Beat Path,0.10526,0.16008,0.10526,0.0,0.0,50000
10,"(100, 101)",MALLOWS_2REF-RELPHI-R,Beat Path,0.11118,0.13592,0.11118,0.0,0.0,50000
10,"(500, 501)",MALLOWS_2REF-RELPHI-R,Beat Path,0.11608,0.09444,0.11608,0.0,0.0,50000
10,"(1000, 1001)",MALLOWS_2REF-RELPHI-R,Beat Path,0.11738,0.0871,0.11738,0.0,0.0,50000
10,"(5000, 5001)",MALLOWS_2REF-RELPHI-R,Beat Path,0.1192,0.07356,0.1192,0.0,0.0,50000
20,"(4, 5)",MALLOWS_2REF-RELPHI-R,Beat Path,0.04758,0.40036,0.04758,0.0,0.0,50000
20,"(10, 11)",MALLOWS_2REF-RELPHI-R,Beat Path,0.17696,0.35692,0.17696,0.0,0.0,50000
20,"(20, 21)",MALLOWS_2REF-RELPHI-R,Beat Path,0.21858,0.31244,0.21858,0.0,0.0,50000
20,"(50, 51)",MALLOWS_2REF-RELPHI-R,Beat Path,0.24748,0.26246,0.24748,0.0,0.0,50000
20,"(100, 101)",MALLOWS_2REF-RELPHI-R,Beat Path,0.25446,0.23368,0.25446,0.0,0.0,50000
20,"(500, 501)",MALLOWS_2REF-RELPHI-R,Beat Path,0.25848,0.18438,0.25848,0.0,0.0,50000
20,"(1000, 1001)",MALLOWS_2REF-RELPHI-R,Beat Path,0.25912,0.17156,0.25912,0.0,0.0,50000
20,"(5000, 5001)",MALLOWS_2REF-RELPHI-R,Beat Path,0.26138,0.15866,0.26138,0.0,0.0,50000
30,"(4, 5)",MALLOWS_2REF-RELPHI-R,Beat Path,0.09694,0.4611,0.09694,0.0,0.0,50000
30,"(10, 11)",MALLOWS_2REF-RELPHI-R,Beat Path,0.27098,0.4274,0.27098,0.0,0.0,50000
30,"(20, 21)",MALLOWS_2REF-RELPHI-R,Beat Path,0.31516,0.387,0.31516,0.0,0.0,50000
30,"(50, 51)",MALLOWS_2REF-RELPHI-R,Beat Path,0.3443,0.33282,0.3443,0.0,0.0,50000
30,"(100, 101)",MALLOWS_2REF-RELPHI-R,Beat Path,0.35176,0.29808,0.35176,0.0,0.0,50000
30,"(500, 501)",MALLOWS_2REF-RELPHI-R,Beat Path,0.35724,0.24808,0.35724,0.0,0.0,50000
30,"(1000, 1001)",MALLOWS_2REF-RELPHI-R,Beat Path,0.35624,0.23438,0.35624,0.0,0.0,50000
30,"(5000, 5001)",MALLOWS_2REF-RELPHI-R,Beat Path,0.3492,0.2156,0.3492,0.0,0.0,50000
