num_cands,num_voters,pm,vm,num_profiles,perc_mult_winners
7,"(50, 51)",IAC,Split Cycle,50,0.32
7,"(50, 51)",IAC,Beat Path,50,0.2
7,"(50, 51)",IAC,Copeland,50,0.22
7,"(50, 51)",IAC,GETCHA,50,0.54
7,"(50, 51)",IAC,Uncovered Set,50,0.54
7,"(100, 101)",IAC,Split Cycle,50,0.3
7,"(100, 101)",IAC,Beat Path,50,0.24
7,"(100, 101)",IAC,Copeland,50,0.16
7,"(100, 101)",IAC,GETCHA,50,0.6
7,"(100, 101)",IAC,Uncovered Set,50,0.6
7,"(500, 501)",IAC,Split Cycle,50,0.1
7,"(500, 501)",IAC,Beat Path,50,0.06
7,"(500, 501)",IAC,Copeland,50,0.28
7,"(500, 501)",IAC,GETCHA,50,0.48
7,"(500, 501)",IAC,Uncovered Set,50,0.48
7,"(1000, 1001)",IAC,Split Cycle,50,0.12
7,"(1000, 1001)",IAC,Beat Path,50,0.02
7,"(1000, 1001)",IAC,Copeland,50,0.12
7,"(1000, 1001)",IAC,GETCHA,50,0.42
7,"(1000, 1001)",IAC,Uncovered Set,50,0.42
7,"(5000, 5001)",IAC,Split Cycle,50,0.2
7,"(5000, 5001)",IAC,Beat Path,50,0.1
7,"(5000, 5001)",IAC,Copeland,50,0.26
7,"(5000, 5001)",IAC,GETCHA,50,0.48
7,"(5000, 5001)",IAC,Uncovered Set,50,0.48
10,"(4, 5)",IAC,Split Cycle,50,0.46
10,"(4, 5)",IAC,Beat Path,50,0.4
10,"(4, 5)",IAC,Copeland,50,0.24
10,"(4, 5)",IAC,GETCHA,50,0.5
10,"(4, 5)",IAC,Uncovered Set,50,0.5
10,"(10, 11)",IAC,Split Cycle,50,0.56
10,"(10, 11)",IAC,Beat Path,50,0.56
10,"(10, 11)",IAC,Copeland,50,0.16
10,"(10, 11)",IAC,GETCHA,50,0.66
10,"(10, 11)",IAC,Uncovered Set,50,0.66
10,"(20, 21)",IAC,Split Cycle,50,0.36
10,"(20, 21)",IAC,Beat Path,50,0.26
10,"(20, 21)",IAC,Copeland,50,0.16
10,"(20, 21)",IAC,GETCHA,50,0.62
10,"(20, 21)",IAC,Uncovered Set,50,0.62
10,"(50, 51)",IAC,Split Cycle,50,0.26
10,"(50, 51)",IAC,Beat Path,50,0.16
10,"(50, 51)",IAC,Copeland,50,0.24
10,"(50, 51)",IAC,GETCHA,50,0.68
10,"(50, 51)",IAC,Uncovered Set,50,0.68
10,"(100, 101)",IAC,Split Cycle,50,0.42
10,"(100, 101)",IAC,Beat Path,50,0.28
10,"(100, 101)",IAC,Copeland,50,0.4
10,"(100, 101)",IAC,GETCHA,50,0.74
10,"(100, 101)",IAC,Uncovered Set,50,0.74
10,"(500, 501)",IAC,Split Cycle,50,0.44
10,"(500, 501)",IAC,Beat Path,50,0.08
10,"(500, 501)",IAC,Copeland,50,0.44
10,"(500, 501)",IAC,GETCHA,50,0.7
10,"(500, 501)",IAC,Uncovered Set,50,0.7
10,"(1000, 1001)",IAC,Split Cycle,50,0.1
10,"(1000, 1001)",IAC,Beat Path,50,0.0
10,"(1000, 1001)",IAC,Copeland,50,0.2
10,"(1000, 1001)",IAC,GETCHA,50,0.5
10,"(1000, 1001)",IAC,Uncovered Set,50,0.5
10,"(5000, 5001)",IAC,Split Cycle,50,0.22
10,"(5000, 5001)",IAC,Beat Path,50,0.0
10,"(5000, 5001)",IAC,Copeland,50,0.38
10,"(5000, 5001)",IAC,GETCHA,50,0.62
10,"(5000, 5001)",IAC,Uncovered Set,50,0.62
20,"(4, 5)",IAC,Split Cycle,50,0.88
20,"(4, 5)",IAC,Beat Path,50,0.82
20,"(4, 5)",IAC,Copeland,50,0.28
20,"(4, 5)",IAC,GETCHA,50,0.92
20,"(4, 5)",IAC,Uncovered Set,50,0.92
20,"(10, 11)",IAC,Split Cycle,50,0.82
20,"(10, 11)",IAC,Beat Path,50,0.66
20,"(10, 11)",IAC,Copeland,50,0.36
20,"(10, 11)",IAC,GETCHA,50,0.96
20,"(10, 11)",IAC,Uncovered Set,50,0.96
20,"(20, 21)",IAC,Split Cycle,50,0.56
20,"(20, 21)",IAC,Beat Path,50,0.28
20,"(20, 21)",IAC,Copeland,50,0.14
20,"(20, 21)",IAC,GETCHA,50,0.8
20,"(20, 21)",IAC,Uncovered Set,50,0.8
20,"(50, 51)",IAC,Split Cycle,50,0.34
20,"(50, 51)",IAC,Beat Path,50,0.18
20,"(50, 51)",IAC,Copeland,50,0.04
20,"(50, 51)",IAC,GETCHA,50,0.56
20,"(50, 51)",IAC,Uncovered Set,50,0.56
